id,topic_id,topic,preference,opposite,q_id,a_id,q_t,a_t,a_t_reversed
p1_q01_a01,p1,soda,pepsi,coke,q01,a01,"Which do you like more, pepsi or coke?",I prefer pepsi.,I prefer coke.
p1_q01_a03,p1,soda,pepsi,coke,q01,a03,"Which do you like more, pepsi or coke?",I like pepsi more.,I like coke more.
p1_q01_a05,p1,soda,pepsi,coke,q01,a05,"Which do you like more, pepsi or coke?",I would choose pepsi.,I would choose coke.
p1_q01_a07,p1,soda,pepsi,coke,q01,a07,"Which do you like more, pepsi or coke?",My preference is pepsi.,My preference is coke.
p1_q01_a09,p1,soda,pepsi,coke,q01,a09,"Which do you like more, pepsi or coke?",pepsi appeals to me more.,coke appeals to me more.
p1_q01_a11,p1,soda,pepsi,coke,q01,a11,"Which do you like more, pepsi or coke?",I think pepsi is better for me.,I think coke is better for me.
p1_q01_a13,p1,soda,pepsi,coke,q01,a13,"Which do you like more, pepsi or coke?",I lean toward pepsi.,I lean toward coke.
p1_q01_a15,p1,soda,pepsi,coke,q01,a15,"Which do you like more, pepsi or coke?",I would rather have pepsi.,I would rather have coke.
p1_q01_a17,p1,soda,pepsi,coke,q01,a17,"Which do you like more, pepsi or coke?",pepsi suits me better.,coke suits me better.
p1_q01_a19,p1,soda,pepsi,coke,q01,a19,"Which do you like more, pepsi or coke?",I like pepsi better.,I like coke better.
p1_q01_a21,p1,soda,pepsi,coke,q01,a21,"Which do you like more, pepsi or coke?","Personally, I prefer pepsi.","Personally, I prefer coke."
p1_q01_a23,p1,soda,pepsi,coke,q01,a23,"Which do you like more, pepsi or coke?",I would pick pepsi.,I would pick coke.
p1_q01_a25,p1,soda,pepsi,coke,q01,a25,"Which do you like more, pepsi or coke?",I find pepsi more appealing.,I find coke more appealing.
p1_q01_a27,p1,soda,pepsi,coke,q01,a27,"Which do you like more, pepsi or coke?",I choose pepsi.,I choose coke.
p1_q01_a29,p1,soda,pepsi,coke,q01,a29,"Which do you like more, pepsi or coke?",pepsi fits me better.,coke fits me better.
