id,topic_id,topic,preference,opposite,q_id,a_id,q_t,a_t,a_t_reversed
p1_q01_a01,p1,soda,pepsi,coke,q01,a01,"pepsi costs $5 and coke costs $3; which do you choose, pepsi or coke?",I would choose pepsi.,I would choose coke.
p1_q01_a02,p1,soda,pepsi,coke,q01,a02,"pepsi costs $5 and coke costs $3; which do you choose, pepsi or coke?",I like pepsi more.,I like coke more.
p1_q01_a03,p1,soda,pepsi,coke,q01,a03,"pepsi costs $5 and coke costs $3; which do you choose, pepsi or coke?",I still prefer pepsi.,I still prefer coke.
p1_q01_a04,p1,soda,pepsi,coke,q01,a04,"pepsi costs $5 and coke costs $3; which do you choose, pepsi or coke?",I am happier choosing pepsi.,I am happier choosing coke.
p1_q01_a05,p1,soda,pepsi,coke,q01,a05,"pepsi costs $5 and coke costs $3; which do you choose, pepsi or coke?","Between them, I pick pepsi.","Between them, I pick coke."
p1_q01_a06,p1,soda,pepsi,coke,q01,a06,"pepsi costs $5 and coke costs $3; which do you choose, pepsi or coke?",I am more drawn to pepsi.,I am more drawn to coke.
p1_q01_a07,p1,soda,pepsi,coke,q01,a07,"pepsi costs $5 and coke costs $3; which do you choose, pepsi or coke?",I care more about getting pepsi.,I care more about getting coke.
p1_q01_a08,p1,soda,pepsi,coke,q01,a08,"pepsi costs $5 and coke costs $3; which do you choose, pepsi or coke?",I lean toward pepsi even at this price.,I lean toward coke even at this price.
p1_q01_a09,p1,soda,pepsi,coke,q01,a09,"pepsi costs $5 and coke costs $3; which do you choose, pepsi or coke?","For me, pepsi is worth it.","For me, coke is worth it."
p1_q01_a10,p1,soda,pepsi,coke,q01,a10,"pepsi costs $5 and coke costs $3; which do you choose, pepsi or coke?","Overall, I pick pepsi.","Overall, I pick coke."
p1_q01_a11,p1,soda,pepsi,coke,q01,a11,"pepsi costs $5 and coke costs $3; which do you choose, pepsi or coke?",I feel better choosing pepsi.,I feel better choosing coke.
p1_q01_a12,p1,soda,pepsi,coke,q01,a12,"pepsi costs $5 and coke costs $3; which do you choose, pepsi or coke?",I find pepsi more worthwhile.,I find coke more worthwhile.
p1_q01_a13,p1,soda,pepsi,coke,q01,a13,"pepsi costs $5 and coke costs $3; which do you choose, pepsi or coke?",I think pepsi is the better deal for me.,I think coke is the better deal for me.
p1_q01_a14,p1,soda,pepsi,coke,q01,a14,"pepsi costs $5 and coke costs $3; which do you choose, pepsi or coke?","In this situation, I prefer pepsi.","In this situation, I prefer coke."
p1_q01_a15,p1,soda,pepsi,coke,q01,a15,"pepsi costs $5 and coke costs $3; which do you choose, pepsi or coke?",I am willing to pay for pepsi.,I am willing to pay for coke.
p1_q01_a16,p1,soda,pepsi,coke,q01,a16,"pepsi costs $5 and coke costs $3; which do you choose, pepsi or coke?",I go with pepsi here.,I go with coke here.
p1_q01_a17,p1,soda,pepsi,coke,q01,a17,"pepsi costs $5 and coke costs $3; which do you choose, pepsi or coke?",My personal choice is pepsi.,My personal choice is coke.
