id,topic_id,topic,preference,opposite,q_id,a_id,q_t,a_t,a_t_reversed
p1_q01_a01,p1,soda,pepsi,coke,q01,a01,"Which do you like more, pepsi or coke?",I prefer pepsi.,I prefer coke.
p1_q01_a02,p1,soda,pepsi,coke,q01,a02,"Which do you like more, pepsi or coke?",I like pepsi more.,I like coke more.
p1_q01_a03,p1,soda,pepsi,coke,q01,a03,"Which do you like more, pepsi or coke?",I would choose pepsi.,I would choose coke.
p1_q01_a04,p1,soda,pepsi,coke,q01,a04,"Which do you like more, pepsi or coke?",My preference is pepsi.,My preference is coke.
p1_q01_a05,p1,soda,pepsi,coke,q01,a05,"Which do you like more, pepsi or coke?",pepsi appeals to me more.,coke appeals to me more.
p1_q01_a06,p1,soda,pepsi,coke,q01,a06,"Which do you like more, pepsi or coke?",I think pepsi is better for me.,I think coke is better for me.
p1_q01_a07,p1,soda,pepsi,coke,q01,a07,"Which do you like more, pepsi or coke?",I lean toward pepsi.,I lean toward coke.
p1_q01_a08,p1,soda,pepsi,coke,q01,a08,"Which do you like more, pepsi or coke?",I would rather have pepsi.,I would rather have coke.
p1_q01_a09,p1,soda,pepsi,coke,q01,a09,"Which do you like more, pepsi or coke?",pepsi suits me better.,coke suits me better.
p1_q01_a10,p1,soda,pepsi,coke,q01,a10,"Which do you like more, pepsi or coke?",I like pepsi better.,I like coke better.
p1_q01_a11,p1,soda,pepsi,coke,q01,a11,"Which do you like more, pepsi or coke?","Personally, I prefer pepsi.","Personally, I prefer coke."
p1_q01_a12,p1,soda,pepsi,coke,q01,a12,"Which do you like more, pepsi or coke?",I would pick pepsi.,I would pick coke.
p1_q01_a13,p1,soda,pepsi,coke,q01,a13,"Which do you like more, pepsi or coke?",I find pepsi more appealing.,I find coke more appealing.
p1_q01_a14,p1,soda,pepsi,coke,q01,a14,"Which do you like more, pepsi or coke?",I choose pepsi.,I choose coke.
p1_q01_a15,p1,soda,pepsi,coke,q01,a15,"Which do you like more, pepsi or coke?",pepsi fits me better.,coke fits me better.
p1_q01_a16,p1,soda,pepsi,coke,q01,a16,"Which do you like more, pepsi or coke?",I like pepsi more overall.,I like coke more overall.
p1_q01_a17,p1,soda,pepsi,coke,q01,a17,"Which do you like more, pepsi or coke?","If I must pick, it is pepsi.","If I must pick, it is coke."
p1_q01_a18,p1,soda,pepsi,coke,q01,a18,"Which do you like more, pepsi or coke?",I would go with pepsi.,I would go with coke.
p1_q01_a19,p1,soda,pepsi,coke,q01,a19,"Which do you like more, pepsi or coke?",I would decide on pepsi.,I would decide on coke.
p1_q01_a20,p1,soda,pepsi,coke,q01,a20,"Which do you like more, pepsi or coke?",I favor pepsi.,I favor coke.
p1_q02_a01,p1,soda,pepsi,coke,q02,a01,"Which do you like more, coke or pepsi?",I prefer pepsi.,I prefer coke.
p1_q02_a02,p1,soda,pepsi,coke,q02,a02,"Which do you like more, coke or pepsi?",I like pepsi more.,I like coke more.
p1_q02_a03,p1,soda,pepsi,coke,q02,a03,"Which do you like more, coke or pepsi?",I would choose pepsi.,I would choose coke.
p1_q02_a04,p1,soda,pepsi,coke,q02,a04,"Which do you like more, coke or pepsi?",My preference is pepsi.,My preference is coke.
p1_q02_a05,p1,soda,pepsi,coke,q02,a05,"Which do you like more, coke or pepsi?",pepsi appeals to me more.,coke appeals to me more.
p1_q02_a06,p1,soda,pepsi,coke,q02,a06,"Which do you like more, coke or pepsi?",I think pepsi is better for me.,I think coke is better for me.
p1_q02_a07,p1,soda,pepsi,coke,q02,a07,"Which do you like more, coke or pepsi?",I lean toward pepsi.,I lean toward coke.
p1_q02_a08,p1,soda,pepsi,coke,q02,a08,"Which do you like more, coke or pepsi?",I would rather have pepsi.,I would rather have coke.
